MSSV,HoTen,DiemDanh
20210659,Dang Kieu Thao,
20213138,Vo Huu Hoang,
20219526,Bui Thanh Binh,
20227949,Duong My Mai,
20229426,Nguyen Xuan Vinh,
20232657,Dinh Thanh Giang,
20233050,Ho Duc Hai,
20233373,Vu Duc Anh,
20233454,Ly Van Son,
20233908,Hoang Quang Phuc,
20236128,Tran Tuan Tung,
20236284,Phan Van Anh,
20236602,Le Thanh Yen,
20237243,Tran Thi Trang,
20238414,Nguyen Ngoc Nam,
202418015,Do Minh Hoang,
202418021,Ly Bich Anh,
202418033,Huynh Thi Oanh,
202418048,Do The Long,
202418051,Do Ngoc Binh,
202418057,Duong Thuy Trang,
202418062,Le Thu Anh,
202418063,Hoang Ngoc Lan,
202418094,Ngo Thanh Vinh,
202418110,Dinh The Anh,
202418126,Dinh Thi Giang,
202418130,Bui Ngoc Nam,
202418137,Do Thu Trang,
202418176,Dang Bich Giang,
202418183,Le Thu Nhung,
202418188,Duong Thuy Lan,
202418198,Ngo Thanh Khoa,
202418200,Huynh Thu Oanh,
202418242,Ly Bich Binh,
202418297,Hoang Ngoc Phuc,
202418309,Ho Ngoc Thao,
202418318,Hoang Ngoc Linh,
202418330,Dinh Xuan Dung,
202418370,Dang Van Son,
202418379,Tran Minh Phong,
202418381,Vo Duc Son,
202418399,Vo Xuan Dung,
202418402,Bui Thuy Thao,
202418438,Hoang Van Nam,
202418444,Huynh Van Khoa,
202418445,Pham Quang Tung,
202418448,Huynh Tuan Phong,
202418455,Dang Thuy Anh,
202418479,Dang Ngoc Oanh,
202418481,Ly Thu Thao,
202418483,Hoang Ngoc Khoa,
202418499,Vu Kieu Hoa,
202418502,Ly Minh Phuc,
202418522,Ngo Xuan Khoa,
202418556,Ho Thi Thao,
202418561,Ngo Tuan Hai,
202418578,Phan Hoang Mai,
202418605,Ly Thuy Thao,
202418609,Do Minh Binh,
202418622,Vu The Tung,
202418624,Vo Ngoc Hoang,
202418631,Huynh My Binh,
202418653,Pham Thi Nhung,
202418673,Hoang Duc Son,
202418675,Phan The Long,
202418713,Nguyen Kieu Mai,
202418758,Hoang Van Binh,
202418766,Hoang Hoang Trang,
202418790,Ho Thuy Nhung,
202418798,Duong Hoang Binh,
202418801,Nguyen Thi Thao,
202418810,Bui Thi Yen,
202418817,Hoang Ngoc Hoang,
202418828,Tran Thu Oanh,
202418838,Ngo Huu Hoang,
202418843,Nguyen Huu Khoa,
202418868,Vo Thanh Anh,
202418880,Ngo Duc Tung,
202418897,Ngo Bich Oanh,
202418913,Le Xuan Phuc,
202418963,Bui Ngoc Phong,
202419015,Duong The Long,
202419021,Dang Thuy Binh,
202419027,Vo Minh Phuc,
