MSSV,HoTen,DiemDanh
20212931,Ho Thuy Lan,
20213948,Duong Quang Tung,
20218248,Do The Long,
20219887,Hoang Van Hoang,
20223287,Do Ngoc Phong,
20226008,Le Tuan Nam,
20231250,Vu Van Long,
20234736,Huynh Ngoc Binh,
20235392,Bui Tuan Phuc,
20236315,Le Kieu Nhung,
20236665,Dang Xuan Son,
20237060,Vo Thi Yen,
20237119,Pham Duc Khoa,
20239027,Hoang Bich Linh,
20239358,Hoang Xuan Hoa,
202418001,Dang Thuy Mai,
202418005,Hoang Thu Oanh,
202418006,Bui Bich Ngoc,
202418023,Do My Oanh,
202418080,Ho Xuan Mai,
202418087,Ho Van Son,
202418090,Ly Thu Anh,
202418093,Vo Thanh Nhung,
202418098,Do Thi Anh,
202418106,Ho Kieu Hoa,
202418113,Bui Van Long,
202418133,Hoang Ngoc Oanh,
202418173,Ngo The Khoa,
202418187,Do My Lan,
202418232,Vu Thanh Son,
202418248,Vo Kieu Trang,
202418267,Hoang Ngoc Hai,
202418308,Ho Duc Son,
202418353,Dang Xuan Dung,
202418356,Bui The Cuong,
202418380,Pham My Oanh,
202418409,Dinh Thuy Binh,
202418412,Nguyen The Dung,
202418420,Ly Thanh Yen,
202418440,Bui Thanh Anh,
202418441,Do Minh Phong,
202418457,Hoang Thi Vy,
202418474,Ngo Hoang Linh,
202418487,Hoang Kieu Anh,
202418517,Ho My Linh,
202418533,Nguyen Tuan Phong,
202418561,Ngo Tuan Hai,
202418572,Vo Quang Son,
202418577,Dinh My Anh,
202418604,Huynh Xuan Anh,
202418614,Ly Duc Dung,
202418638,Ho Xuan Nam,
202418648,Le Xuan Anh,
202418663,Nguyen The Binh,
202418671,Huynh Ngoc Nhung,
202418691,Duong Minh Binh,
202418693,Nguyen Thu Giang,
202418705,Dang Huu Vinh,
202418739,Huynh Minh Hai,
202418786,Ho Duc Nam,
202418795,Phan Huu Long,
202418798,Duong Hoang Binh,
202418828,Tran Thu Oanh,
202418853,Duong Ngoc Binh,
202418874,Bui Van Dung,
202418892,Nguyen Huu Dung,
202418906,Phan Quang Cuong,
202418923,Phan Kieu Oanh,
202418980,Tran Huu Long,
202418996,Le Huu Son,
202419015,Duong The Long,
