MSSV,HoTen,DiemDanh
20214897,Hoang Thuy Thao,
20224892,Ly Ngoc Mai,
20226415,Vo Minh Vinh,
20226443,Duong Van Binh,
20229792,Phan Thuy Oanh,
20230553,Vo Huu Dung,
20232742,Le Thu Oanh,
20233952,Phan The Long,
20234953,Pham Bich Giang,
20235582,Ly Duc Binh,
20235641,Dang Thu Linh,
20237377,Nguyen Ngoc Phong,
20237903,Vo My Yen,
20238728,Le Ngoc Thao,
20239720,Duong Van Nam,
202418028,Pham Bich Lan,
202418046,Huynh Ngoc Thao,
202418068,Nguyen Van Dung,
202418075,Do Quang Hai,
202418102,Pham Thanh Trang,
202418110,Dinh The Anh,
202418133,Hoang Ngoc Oanh,
202418146,Ho Huu Cuong,
202418158,Vo Xuan Phuc,
202418184,Dinh Thuy Linh,
202418188,Duong Thuy Lan,
202418203,Tran Van Nam,
202418216,Pham The Nam,
202418223,Vu Ngoc Tung,
202418242,Ly Bich Binh,
202418278,Phan Hoang Giang,
202418280,Huynh Hoang Hoa,
202418281,Dinh My Ngoc,
202418289,Vo Ngoc Long,
202418308,Ho Duc Son,
202418327,Pham Duc Son,
202418351,Huynh Tuan Khoa,
202418377,Vo Quang Binh,
202418382,Vu Huu Hoang,
202418383,Pham Hoang Nhung,
202418385,Ho Thanh Long,
202418393,Hoang Duc Nam,
202418399,Vo Xuan Dung,
202418421,Dang Huu Khoa,
202418429,Vo Duc Long,
202418434,Huynh Xuan Vinh,
202418449,Hoang Kieu Mai,
202418457,Hoang Thi Vy,
202418526,Phan Duc Tung,
202418572,Vo Quang Son,
202418598,Huynh Quang Phong,
202418616,Tran My Oanh,
202418632,Vo The Nam,
202418654,Le Van Khoa,
202418656,Ngo Xuan Phong,
202418672,Huynh Thuy Mai,
202418675,Phan The Long,
202418680,Ngo Xuan Binh,
202418685,Hoang Tuan Phuc,
202418689,Hoang The Khoa,
202418692,Le Thanh Mai,
202418693,Nguyen Thu Giang,
202418694,Tran Hoang Yen,
202418709,Le Minh Phuc,
202418723,Le Ngoc Nhung,
202418739,Huynh Minh Hai,
202418758,Hoang Van Binh,
202418775,Vo Xuan Nhung,
202418794,Phan Xuan Nam,
202418795,Phan Huu Long,
202418834,Vu Tuan Phong,
202418850,Le Tuan Vinh,
202418861,Nguyen Ngoc Anh,
202418862,Bui Duc Tung,
202418863,Pham Duc Anh,
202418865,Nguyen Huu Vinh,
202418880,Ngo Duc Tung,
202418889,Ho Kieu Thao,
202418896,Do Duc Long,
202418914,Bui Thu Binh,
202418920,Dinh Ngoc Linh,
202418937,Ho The Binh,
202418943,Hoang The Anh,
202418947,Vo Thanh Hai,
202418949,Nguyen Thi Oanh,
202418958,Duong The Nam,
202418960,Nguyen Quang Vinh,
202418971,Ly Minh Phong,
202418990,Tran Duc Cuong,
202418998,Vo Thu Yen,
202419016,Le Duc Hoang,
