MSSV,HoTen,DiemDanh
20210028,Vu Ngoc Lan,
20218580,Vo Xuan Anh,
20219296,Hoang Ngoc Khoa,
20224184,Vu Ngoc Ngoc,
20227408,Nguyen Thanh Hai,
20228691,Dinh Kieu Lan,
20231919,Ngo Thanh Tung,
20233629,Phan Ngoc Ngoc,
20235919,Ngo Kieu Lan,
20236798,Le Thi Lan,
20236844,Ly Thanh Hoa,
20237565,Ho Xuan Dung,
20238163,Tran Xuan Nam,
20239063,Ngo The Hoang,
202418014,Vu Thuy Hoa,
202418018,Vu Thu Thao,
202418047,Ly Quang Hoang,
202418056,Dang Duc Dung,
202418143,Pham Duc Phuc,
202418194,Do Quang Tung,
202418203,Tran Van Nam,
202418227,Hoang My Nhung,
202418270,Ho Xuan Oanh,
202418276,Huynh Thuy Oanh,
202418284,Ho Thanh Hoa,
202418312,Do Duc Anh,
202418321,Phan Thanh Dung,
202418324,Phan Bich Vy,
202418350,Hoang Bich Thao,
202418377,Vo Quang Binh,
202418400,Dang Bich Ngoc,
202418409,Dinh Thuy Binh,
202418446,Dinh Duc Anh,
202418466,Do Thanh Nam,
202418477,Le Kieu Linh,
202418479,Dang Ngoc Oanh,
202418491,Nguyen Quang Tung,
202418515,Huynh Thanh Nhung,
202418568,Hoang Thi Hoa,
202418580,Le Xuan Khoa,
202418624,Vo Ngoc Hoang,
202418625,Hoang Kieu Giang,
202418628,Nguyen Duc Hoang,
202418648,Le Xuan Anh,
202418651,Bui Huu Phong,
202418669,Hoang Hoang Oanh,
202418678,Bui Thu Oanh,
202418711,Huynh Huu Binh,
202418723,Le Ngoc Nhung,
202418725,Bui Bich Anh,
202418759,Dinh Thu Anh,
202418770,Vo Quang Vinh,
202418784,Ho Xuan Phong,
202418792,Duong Thu Thao,
202418796,Ho Hoang Linh,
202418801,Nguyen Thi Thao,
202418819,Do Duc Binh,
202418820,Vu Thuy Oanh,
202418854,Huynh Ngoc Nam,
202418862,Bui Duc Tung,
202418882,Do My Thao,
202418927,Nguyen Duc Cuong,
202418961,Phan The Long,
202418964,Pham Duc Phuc,
202418974,Nguyen Quang Cuong,
202419002,Nguyen My Linh,
202419005,Vo Xuan Giang,
202419021,Dang Thuy Binh,
202419025,Tran Quang Long,
