MSSV,HoTen,DiemDanh
20215262,Vu Tuan Phong,
20216739,Huynh Hoang Trang,
20216915,Do Minh Long,
20221520,Duong My Linh,
20230156,Pham Ngoc Giang,
20230905,Phan Thu Hoa,
20231948,Phan Ngoc Cuong,
20232350,Dang Xuan Hoa,
20232539,Pham Kieu Giang,
20234386,Huynh The Phuc,
20235132,Le Xuan Giang,
20235219,Nguyen Van Khoa,
20235851,Hoang Ngoc Trang,
20236294,Ly Ngoc Vy,
20237177,Vo Minh Phuc,
20238525,Pham Minh Tung,
20238632,Do Ngoc Hoa,
20238948,Tran Thu Mai,
20239398,Hoang Minh Vinh,
202418049,Vo Huu Nam,
202418057,Duong Thuy Trang,
202418066,Duong Thu Anh,
202418082,Dang Thuy Ngoc,
202418128,Duong Huu Hoang,
202418177,Do Kieu Mai,
202418212,Vu Quang Khoa,
202418224,Bui The Nam,
202418236,Huynh The Son,
202418259,Dang My Linh,
202418277,Vu Xuan Linh,
202418309,Ho Ngoc Thao,
202418314,Duong Hoang Thao,
202418317,Pham The Hai,
202418351,Huynh Tuan Khoa,
202418357,Dinh Huu Anh,
202418387,Dang Hoang Nhung,
202418424,Duong Hoang Hoa,
202418435,Ho Thanh Hoa,
202418441,Do Minh Phong,
202418465,Ly Ngoc Dung,
202418472,Ngo Hoang Hoa,
202418477,Le Kieu Linh,
202418487,Hoang Kieu Anh,
202418507,Duong Xuan Giang,
202418509,Vo Ngoc Oanh,
202418514,Ly Xuan Thao,
202418529,Vo Kieu Anh,
202418545,Hoang Ngoc Anh,
202418554,Ho Xuan Hoa,
202418582,Hoang Xuan Binh,
202418597,Tran Thuy Linh,
202418605,Ly Thuy Thao,
202418702,Tran Hoang Linh,
202418707,Dang My Lan,
202418712,Le Quang Phuc,
202418717,Dang The Dung,
202418749,Ho Thuy Anh,
202418762,Pham Thi Binh,
202418801,Nguyen Thi Thao,
202418813,Huynh Minh Anh,
202418819,Do Duc Binh,
202418825,Ly Tuan Tung,
202418826,Ngo Ngoc Son,
202418845,Ngo Tuan Vinh,
202418848,Huynh Quang Binh,
202418849,Hoang Thanh Khoa,
202418890,Ly Thanh Anh,
202418912,Le Bich Nhung,
202418945,Do Bich Linh,
202418967,Duong My Lan,
202418982,Phan Tuan Vinh,
202418996,Le Huu Son,
202419000,Dinh Thanh Lan,
