MSSV,HoTen,DiemDanh
20210249,Ly Bich Nhung,
20215666,Ngo Bich Trang,
20230138,Bui Kieu Ngoc,
20230140,Ly Quang Khoa,
20232059,Le Duc Dung,
20232217,Vo Minh Nam,
20233783,Do Huu Cuong,
20234037,Hoang Xuan Dung,
20235468,Ngo Thanh Dung,
20236135,Hoang Thi Trang,
20237506,Duong Thanh Son,
20239033,Phan Thu Giang,
20239245,Vu Xuan Dung,
20239558,Hoang Ngoc Ngoc,
20239838,Pham The Phuc,
202418000,Vu Thu Ngoc,
202418021,Ly Bich Anh,
202418038,Duong Kieu Oanh,
202418057,Duong Thuy Trang,
202418072,Bui Ngoc Hoa,
202418075,Do Quang Hai,
202418089,Ly Duc Binh,
202418091,Dang Thuy Thao,
202418133,Hoang Ngoc Oanh,
202418185,Ho Thu Trang,
202418196,Nguyen Kieu Trang,
202418209,Ly Van Hoang,
202418232,Vu Thanh Son,
202418266,Vu Huu Son,
202418312,Do Duc Anh,
202418324,Phan Bich Vy,
202418327,Pham Duc Son,
202418398,Phan Kieu Binh,
202418399,Vo Xuan Dung,
202418436,Dinh The Hai,
202418468,Vu Hoang Ngoc,
202418473,Huynh Minh Tung,
202418485,Pham Minh Binh,
202418507,Duong Xuan Giang,
202418591,Le Xuan Trang,
202418595,Phan The Nam,
202418597,Tran Thuy Linh,
202418601,Do Minh Phong,
202418611,Ho Bich Giang,
202418663,Nguyen The Binh,
202418669,Hoang Hoang Oanh,
202418671,Huynh Ngoc Nhung,
202418691,Duong Minh Binh,
202418772,Phan Ngoc Binh,
202418812,Ngo Thanh Yen,
202418818,Ho My Mai,
202418833,Hoang Bich Anh,
202418838,Ngo Huu Hoang,
202418849,Hoang Thanh Khoa,
202418860,Ly Minh Khoa,
202418861,Nguyen Ngoc Anh,
202418884,Ly Thanh Vinh,
202418911,Pham Thu Oanh,
202418913,Le Xuan Phuc,
202418930,Tran My Hoa,
202418931,Nguyen Quang Son,
202418939,Ly Thu Vy,
202418940,Ly Kieu Lan,
202418948,Do Thi Binh,
202418959,Pham Thu Trang,
202418973,Dang Ngoc Khoa,
202418976,Vo Xuan Phuc,
202418986,Le My Anh,
202419010,Le Tuan Phuc,
202419019,Le Thuy Giang,
202419031,Pham Tuan Anh,
