MSSV,HoTen,DiemDanh
20210989,Bui Huu Tung,
20216091,Nguyen Thanh Trang,
20223419,Dinh Bich Anh,
20224864,Hoang Ngoc Hoa,
20227463,Ho Van Dung,
20230647,Phan My Binh,
20230652,Bui Bich Trang,
20231218,Pham Thu Nhung,
20231464,Vu Van Khoa,
20232209,Huynh My Nhung,
20232574,Do Thu Lan,
20232602,Pham The Hoang,
20233080,Duong Thanh Son,
20234060,Le Ngoc Nam,
20234799,Ly Duc Khoa,
20235040,Bui Thanh Tung,
20235599,Vo Van Nam,
20235990,Ngo Thuy Binh,
20236720,Le My Lan,
20236812,Vu Minh Nam,
20237615,Ho Ngoc Lan,
20237959,Do Quang Son,
202418011,Pham The Hoang,
202418050,Bui Kieu Binh,
202418075,Do Quang Hai,
202418077,Phan Thuy Anh,
202418078,Phan Thi Trang,
202418083,Hoang Thanh Mai,
202418084,Huynh Minh Vinh,
202418127,Phan Quang Long,
202418129,Pham Thuy Yen,
202418140,Huynh My Mai,
202418143,Pham Duc Phuc,
202418168,Bui Ngoc Vy,
202418169,Le Ngoc Khoa,
202418179,Le Thu Ngoc,
202418182,Dinh Thanh Nam,
202418209,Ly Van Hoang,
202418237,Tran Thi Anh,
202418252,Ly Kieu Nhung,
202418257,Ngo Ngoc Anh,
202418272,Nguyen Thanh Giang,
202418316,Phan Xuan Hoang,
202418327,Pham Duc Son,
202418350,Hoang Bich Thao,
202418357,Dinh Huu Anh,
202418359,Tran Thu Anh,
202418362,Le Thu Mai,
202418373,Bui The Hai,
202418400,Dang Bich Ngoc,
202418427,Ly Hoang Binh,
202418465,Ly Ngoc Dung,
202418474,Ngo Hoang Linh,
202418476,Ho Tuan Binh,
202418496,Bui Thuy Nhung,
202418524,Vu Xuan Nam,
202418535,Dinh Thanh Phong,
202418538,Ly Van Son,
202418545,Hoang Ngoc Anh,
202418546,Ngo Minh Anh,
202418559,Ly Tuan Phong,
202418562,Hoang Quang Vinh,
202418580,Le Xuan Khoa,
202418588,Bui Kieu Vy,
202418611,Ho Bich Giang,
202418635,Tran Ngoc Dung,
202418676,Bui Duc Son,
202418700,Nguyen Huu Anh,
202418708,Phan Minh Cuong,
202418722,Bui Duc Khoa,
202418757,Ngo Bich Vy,
202418758,Hoang Van Binh,
202418763,Do Minh Dung,
202418765,Dang Tuan Son,
202418769,Dang Hoang Anh,
202418771,Dinh Thuy Ngoc,
202418782,Huynh Quang Khoa,
202418825,Ly Tuan Tung,
202418847,Ly Thanh Hoa,
202418859,Ho My Anh,
202418890,Ly Thanh Anh,
202418892,Nguyen Huu Dung,
202418936,Duong Ngoc Oanh,
202418968,Hoang Ngoc Yen,
202418970,Dinh Minh Dung,
202418974,Nguyen Quang Cuong,
202418975,Duong Quang Dung,
202418980,Tran Huu Long,
202418984,Huynh Hoang Mai,
202419028,Hoang The Nam,
