MSSV,HoTen,DiemDanh
20218176,Dang Thuy Yen,
20228925,Dinh Hoang Ngoc,
20229061,Phan My Anh,
20229200,Vu Thanh Thao,
20232122,Ngo Duc Khoa,
20232856,Le Xuan Hoa,
20233294,Duong Thi Giang,
20235105,Huynh Minh Dung,
20236192,Ho Thi Yen,
20237848,Pham Thanh Nam,
20238366,Vu Thanh Lan,
20238661,Tran Thi Anh,
20238695,Huynh Duc Son,
20238988,Phan Tuan Phong,
202418018,Vu Thu Thao,
202418021,Ly Bich Anh,
202418022,Huynh Thanh Anh,
202418049,Vo Huu Nam,
202418063,Hoang Ngoc Lan,
202418076,Hoang Thuy Nhung,
202418081,Vu My Giang,
202418083,Hoang Thanh Mai,
202418091,Dang Thuy Thao,
202418113,Bui Van Long,
202418146,Ho Huu Cuong,
202418152,Tran Xuan Vy,
202418159,Vu Thi Mai,
202418160,Phan Thanh Anh,
202418167,Vu Kieu Anh,
202418230,Ngo Xuan Khoa,
202418231,Dang My Lan,
202418269,Do Tuan Nam,
202418383,Pham Hoang Nhung,
202418397,Dinh Hoang Trang,
202418412,Nguyen The Dung,
202418420,Ly Thanh Yen,
202418423,Ho Thanh Long,
202418432,Bui Ngoc Phuc,
202418436,Dinh The Hai,
202418458,Ho Van Nam,
202418472,Ngo Hoang Hoa,
202418480,Ngo Xuan Oanh,
202418492,Phan Thi Ngoc,
202418510,Tran Bich Trang,
202418539,Vu Thanh Dung,
202418566,Ly Hoang Giang,
202418578,Phan Hoang Mai,
202418582,Hoang Xuan Binh,
202418623,Ho Quang Phong,
202418713,Nguyen Kieu Mai,
202418727,Ngo Thanh Nam,
202418739,Huynh Minh Hai,
202418751,Huynh Huu Phong,
202418761,Ngo Thanh Anh,
202418777,Ho Duc Hoang,
202418796,Ho Hoang Linh,
202418805,Vu Bich Yen,
202418806,Huynh Thi Hoa,
202418815,Ngo Tuan Phong,
202418828,Tran Thu Oanh,
202418842,Hoang Kieu Anh,
202418845,Ngo Tuan Vinh,
202418850,Le Tuan Vinh,
202418858,Ho Tuan Dung,
202418872,Pham Quang Khoa,
202418873,Vo Hoang Hoa,
202418883,Dang Thanh Vy,
202418923,Phan Kieu Oanh,
202418929,Le Thanh Hoang,
202418939,Ly Thu Vy,
202418943,Hoang The Anh,
202418994,Bui Kieu Yen,
202418999,Vo Ngoc Mai,
202419002,Nguyen My Linh,
202419006,Dang Xuan Trang,
