MSSV,HoTen,DiemDanh
20212093,Hoang Xuan Mai,
20212597,Hoang Tuan Long,
20220759,Huynh Tuan Anh,
20222409,Nguyen Ngoc Lan,
20228435,Vo Thuy Hoa,
20230865,Ho Ngoc Giang,
20231608,Ly Huu Tung,
20232203,Pham Bich Nhung,
20232279,Ngo Duc Long,
20232333,Hoang Thanh Thao,
20232452,Hoang Thanh Yen,
20233532,Bui Duc Dung,
20233628,Vo Tuan Phuc,
20233654,Dang Hoang Vy,
20233886,Do Tuan Nam,
20234647,Ngo Thanh Mai,
20234919,Vo Van Phong,
20235975,Vo Thanh Anh,
20236593,Duong Van Long,
20236894,Huynh Minh Anh,
20237115,Ho Xuan Nhung,
20238537,Ho Minh Dung,
20238629,Nguyen My Trang,
20239293,Phan Duc Phuc,
20239399,Tran Thi Ngoc,
202418002,Dinh Minh Khoa,
202418017,Le Xuan Tung,
202418033,Huynh Thi Oanh,
202418044,Ngo Ngoc Ngoc,
202418060,Dinh Huu Anh,
202418070,Huynh Ngoc Cuong,
202418082,Dang Thuy Ngoc,
202418114,Bui Thanh Phong,
202418134,Do Xuan Thao,
202418141,Vu Xuan Anh,
202418172,Tran My Mai,
202418176,Dang Bich Giang,
202418178,Huynh Thanh Vinh,
202418260,Ly Bich Linh,
202418274,Huynh Quang Cuong,
202418288,Duong Minh Vinh,
202418322,Vu Xuan Nam,
202418328,Nguyen Quang Hoang,
202418329,Pham Thi Mai,
202418330,Dinh Xuan Dung,
202418340,Phan Thu Vy,
202418365,Le Thi Hoa,
202418377,Vo Quang Binh,
202418382,Vu Huu Hoang,
202418384,Phan The Long,
202418440,Bui Thanh Anh,
202418448,Huynh Tuan Phong,
202418451,Vu Van Phong,
202418464,Hoang Thu Lan,
202418479,Dang Ngoc Oanh,
202418502,Ly Minh Phuc,
202418541,Pham Quang Dung,
202418546,Ngo Minh Anh,
202418572,Vo Quang Son,
202418606,Ho Xuan Tung,
202418609,Do Minh Binh,
202418624,Vo Ngoc Hoang,
202418626,Ly Ngoc Yen,
202418635,Tran Ngoc Dung,
202418688,Huynh Huu Dung,
202418722,Bui Duc Khoa,
202418787,Bui Ngoc Nam,
202418807,Phan The Cuong,
202418813,Huynh Minh Anh,
202418852,Duong Ngoc Thao,
202418858,Ho Tuan Dung,
202418866,Dang Huu Anh,
202418900,Ly Thu Anh,
202418953,Tran Van Khoa,
202418963,Bui Ngoc Phong,
202418969,Le Huu Vinh,
202418978,Le Xuan Binh,
202419001,Pham Huu Tung,
202419009,Le The Long,
202419017,Ly Huu Phong,
202419028,Hoang The Nam,
