MSSV,HoTen,DiemDanh
20213672,Ly The Cuong,
20215005,Duong Huu Dung,
20217017,Dinh Minh Tung,
20220380,Dinh Thanh Dung,
20228084,Dinh Thanh Anh,
20233033,Duong Ngoc Cuong,
20233037,Phan Bich Ngoc,
20233689,Nguyen My Vy,
20234764,Dinh Thanh Giang,
20235898,Vo Xuan Nhung,
20235952,Le Van Dung,
20236700,Huynh Quang Vinh,
20238865,Ngo My Vy,
20238957,Huynh The Son,
20239020,Ngo Thanh Mai,
20239130,Hoang Thanh Vy,
20239844,Dang Thi Binh,
202418003,Ngo Bich Mai,
202418015,Do Minh Hoang,
202418031,Dinh Duc Son,
202418047,Ly Quang Hoang,
202418071,Ngo Bich Thao,
202418110,Dinh The Anh,
202418264,Do Van Son,
202418285,Nguyen Huu Dung,
202418317,Pham The Hai,
202418392,Duong Hoang Binh,
202418439,Vu Bich Anh,
202418446,Dinh Duc Anh,
202418450,Duong Duc Binh,
202418491,Nguyen Quang Tung,
202418524,Vu Xuan Nam,
202418530,Le Duc Dung,
202418560,Dinh Duc Son,
202418602,Bui Hoang Nhung,
202418619,Pham Hoang Ngoc,
202418637,Phan Duc Tung,
202418644,Ly Thu Lan,
202418648,Le Xuan Anh,
202418663,Nguyen The Binh,
202418691,Duong Minh Binh,
202418755,Hoang Huu Khoa,
202418791,Vo My Giang,
202418797,Le Huu Nam,
202418843,Nguyen Huu Khoa,
202418863,Pham Duc Anh,
202418875,Bui Kieu Hoa,
202418906,Phan Quang Cuong,
202418911,Pham Thu Oanh,
202418942,Le Ngoc Trang,
202418946,Dang Thuy Ngoc,
202418968,Hoang Ngoc Yen,
202418969,Le Huu Vinh,
202418972,Phan Minh Cuong,
202419005,Vo Xuan Giang,
202419028,Hoang The Nam,
