MSSV,HoTen,DiemDanh
20213315,Do Duc Son,
20219376,Nguyen Van Anh,
20219780,Do Minh Hai,
20221273,Ho Duc Phong,
20223469,Dinh Duc Tung,
20230279,Duong Thi Oanh,
20230796,Bui Duc Phuc,
20231375,Hoang Thanh Nam,
20233242,Tran Kieu Anh,
20233526,Dang Bich Giang,
20234496,Phan Huu Anh,
20235256,Pham Tuan Long,
20235338,Phan Huu Nam,
20235403,Do Ngoc Phong,
20237236,Hoang Duc Khoa,
20237747,Hoang The Cuong,
20237912,Huynh Xuan Anh,
20238799,Dang Thu Nhung,
202418010,Phan Minh Son,
202418052,Nguyen Minh Phong,
202418054,Le Thu Yen,
202418059,Nguyen Tuan Dung,
202418076,Hoang Thuy Nhung,
202418090,Ly Thu Anh,
202418107,Bui Thuy Giang,
202418164,Duong Quang Tung,
202418181,Hoang Ngoc Dung,
202418185,Ho Thu Trang,
202418200,Huynh Thu Oanh,
202418229,Vo Van Hai,
202418239,Ho Quang Long,
202418246,Vu Van Long,
202418255,Ly Thanh Son,
202418257,Ngo Ngoc Anh,
202418267,Hoang Ngoc Hai,
202418288,Duong Minh Vinh,
202418295,Bui Thanh Hai,
202418321,Phan Thanh Dung,
202418324,Phan Bich Vy,
202418329,Pham Thi Mai,
202418345,Dang Duc Hoang,
202418347,Bui The Phong,
202418354,Bui Thi Thao,
202418372,Pham Ngoc Khoa,
202418375,Bui Van Khoa,
202418379,Tran Minh Phong,
202418380,Pham My Oanh,
202418388,Ho My Ngoc,
202418408,Dinh The Long,
202418425,Le Thanh Binh,
202418427,Ly Hoang Binh,
202418436,Dinh The Hai,
202418438,Hoang Van Nam,
202418448,Huynh Tuan Phong,
202418450,Duong Duc Binh,
202418472,Ngo Hoang Hoa,
202418482,Hoang Bich Giang,
202418483,Hoang Ngoc Khoa,
202418493,Ngo Thanh Trang,
202418494,Le Ngoc Nhung,
202418535,Dinh Thanh Phong,
202418559,Ly Tuan Phong,
202418573,Pham Huu Tung,
202418582,Hoang Xuan Binh,
202418585,Phan My Linh,
202418606,Ho Xuan Tung,
202418607,Phan Tuan Long,
202418641,Le Van Hoang,
202418650,Ho Xuan Giang,
202418670,Pham Bich Anh,
202418673,Hoang Duc Son,
202418690,Vu Bich Trang,
202418718,Do Thanh Ngoc,
202418729,Ngo Thu Nhung,
202418734,Duong My Lan,
202418748,Nguyen Ngoc Nhung,
202418798,Duong Hoang Binh,
202418804,Ngo Thu Binh,
202418805,Vu Bich Yen,
202418812,Ngo Thanh Yen,
202418838,Ngo Huu Hoang,
202418854,Huynh Ngoc Nam,
202418856,Pham Thuy Vy,
202418859,Ho My Anh,
202418860,Ly Minh Khoa,
202418867,Tran Minh Tung,
202418885,Ly Xuan Binh,
202418902,Ngo Ngoc Phong,
202418930,Tran My Hoa,
202418935,Do Tuan Phuc,
202418937,Ho The Binh,
202418945,Do Bich Linh,
202419015,Duong The Long,
202419018,Do Thi Hoa,
202419026,Le Tuan Long,
