MSSV,HoTen,DiemDanh
20216112,Huynh Ngoc Hai,
20216746,Hoang Tuan Hai,
20219812,Do Bich Trang,
20229853,Hoang Tuan Cuong,
20231513,Tran Thanh Anh,
20231589,Dang Duc Phuc,
20232836,Pham Hoang Thao,
20232950,Ngo Kieu Binh,
20233397,Nguyen Hoang Lan,
20234691,Vu Minh Binh,
20234954,Vo Kieu Linh,
20236396,Huynh The Nam,
20238279,Bui Huu Tung,
20238345,Ho The Hoang,
20238605,Dang Minh Phuc,
202418014,Vu Thuy Hoa,
202418027,Phan My Trang,
202418045,Tran Hoang Lan,
202418055,Pham Van Son,
202418078,Phan Thi Trang,
202418156,Vu The Son,
202418168,Bui Ngoc Vy,
202418182,Dinh Thanh Nam,
202418200,Huynh Thu Oanh,
202418213,Phan Tuan Tung,
202418227,Hoang My Nhung,
202418234,Ho Thanh Binh,
202418249,Do Bich Mai,
202418267,Hoang Ngoc Hai,
202418287,Dang Van Son,
202418306,Do Xuan Lan,
202418317,Pham The Hai,
202418323,Vu Xuan Trang,
202418338,Phan Huu Phuc,
202418355,Ho Hoang Mai,
202418356,Bui The Cuong,
202418392,Duong Hoang Binh,
202418401,Vo Thanh Anh,
202418406,Dang Minh Nam,
202418422,Le Quang Binh,
202418433,Ly Thanh Anh,
202418499,Vu Kieu Hoa,
202418521,Vu Thanh Hoang,
202418527,Ngo Minh Phuc,
202418550,Dang Xuan Tung,
202418573,Pham Huu Tung,
202418578,Phan Hoang Mai,
202418617,Ngo Tuan Cuong,
202418642,Phan Xuan Yen,
202418663,Nguyen The Binh,
202418665,Bui Bich Nhung,
202418705,Dang Huu Vinh,
202418719,Vu Thanh Hai,
202418724,Hoang Huu Khoa,
202418736,Nguyen Hoang Yen,
202418758,Hoang Van Binh,
202418778,Nguyen Duc Cuong,
202418793,Do Duc Hoang,
202418812,Ngo Thanh Yen,
202418827,Ngo Kieu Trang,
202418844,Huynh Hoang Trang,
202418849,Hoang Thanh Khoa,
202418859,Ho My Anh,
202418883,Dang Thanh Vy,
202418897,Ngo Bich Oanh,
202418899,Ly Van Tung,
202418905,Tran Quang Son,
202418915,Do My Oanh,
202418928,Nguyen The Khoa,
202418939,Ly Thu Vy,
202418964,Pham Duc Phuc,
202418967,Duong My Lan,
202418977,Do Thu Nhung,
202418997,Bui Huu Phuc,
