MSSV,HoTen,DiemDanh
20214391,Dinh Thanh Ngoc,
20214689,Tran Thanh Oanh,
20216167,Ly Duc Binh,
20216363,Le Van Tung,
20218325,Pham Xuan Thao,
20224250,Dinh Thi Binh,
20229983,Pham Hoang Anh,
20230228,Nguyen Thuy Ngoc,
20232585,Vu Quang Long,
20232860,Do Van Anh,
20234021,Do Van Long,
20236125,Do Thuy Trang,
202418000,Vu Thu Ngoc,
202418021,Ly Bich Anh,
202418056,Dang Duc Dung,
202418058,Vu Quang Khoa,
202418061,Dang Thuy Mai,
202418089,Ly Duc Binh,
202418096,Dang Van Phong,
202418097,Pham Thanh Mai,
202418142,Hoang The Son,
202418152,Tran Xuan Vy,
202418159,Vu Thi Mai,
202418168,Bui Ngoc Vy,
202418175,Le Van Hai,
202418233,Hoang Xuan Ngoc,
202418294,Dinh Minh Cuong,
202418308,Ho Duc Son,
202418339,Duong Xuan Phong,
202418357,Dinh Huu Anh,
202418408,Dinh The Long,
202418429,Vo Duc Long,
202418446,Dinh Duc Anh,
202418449,Hoang Kieu Mai,
202418487,Hoang Kieu Anh,
202418539,Vu Thanh Dung,
202418558,Vu Tuan Dung,
202418566,Ly Hoang Giang,
202418599,Tran Bich Binh,
202418607,Phan Tuan Long,
202418652,Vu Kieu Yen,
202418665,Bui Bich Nhung,
202418666,Ngo The Dung,
202418689,Hoang The Khoa,
202418695,Ho Minh Vinh,
202418709,Le Minh Phuc,
202418722,Bui Duc Khoa,
202418725,Bui Bich Anh,
202418730,Do Thu Vy,
202418744,Do Ngoc Tung,
202418749,Ho Thuy Anh,
202418759,Dinh Thu Anh,
202418775,Vo Xuan Nhung,
202418785,Dang Kieu Oanh,
202418871,Pham My Trang,
202418891,Duong Kieu Mai,
202418897,Ngo Bich Oanh,
202418904,Huynh Ngoc Anh,
202418918,Vu Thi Trang,
202418930,Tran My Hoa,
202418936,Duong Ngoc Oanh,
202418952,Bui Thu Nhung,
202418976,Vo Xuan Phuc,
202418982,Phan Tuan Vinh,
202418986,Le My Anh,
202418991,Phan Thi Oanh,
202418997,Bui Huu Phuc,
202418998,Vo Thu Yen,
202419024,Ho Xuan Tung,
202419028,Hoang The Nam,
