MSSV,HoTen,DiemDanh
20211240,Bui Ngoc Long,
20215204,Huynh Thi Giang,
20221387,Dang Bich Ngoc,
20223897,Tran The Phuc,
20225998,Dinh My Thao,
20226709,Nguyen Xuan Oanh,
20227260,Dang The Cuong,
20228340,Tran Van Long,
20230737,Nguyen Thi Trang,
20231306,Dinh Thi Giang,
20231646,Vo Duc Son,
20232741,Tran Xuan Son,
20233884,Tran Bich Thao,
20234314,Huynh Thi Yen,
20234897,Pham Ngoc Son,
20235954,Nguyen Thanh Phong,
20236391,Le Ngoc Hoa,
20236691,Le Quang Long,
20236896,Ly Thi Anh,
20237213,Bui Hoang Binh,
20237314,Nguyen Van Khoa,
20237933,Pham Kieu Binh,
20239753,Tran Hoang Binh,
202418013,Vu Huu Hoang,
202418014,Vu Thuy Hoa,
202418038,Duong Kieu Oanh,
202418048,Do The Long,
202418053,Phan The Son,
202418062,Le Thu Anh,
202418090,Ly Thu Anh,
202418095,Vo The Khoa,
202418108,Pham Hoang Anh,
202418121,Ho The Khoa,
202418122,Vo Hoang Mai,
202418155,Do Hoang Ngoc,
202418187,Do My Lan,
202418206,Vu Thanh Binh,
202418210,Do Kieu Hoa,
202418215,Do My Mai,
202418234,Ho Thanh Binh,
202418238,Ly Bich Mai,
202418239,Ho Quang Long,
202418261,Dang Xuan Vinh,
202418265,Huynh Kieu Mai,
202418285,Nguyen Huu Dung,
202418286,Tran Thanh Tung,
202418298,Vo Thanh Oanh,
202418321,Phan Thanh Dung,
202418329,Pham Thi Mai,
202418342,Bui Huu Khoa,
202418343,Huynh Bich Vy,
202418348,Do Kieu Thao,
202418363,Vo Ngoc Giang,
202418371,Nguyen Xuan Cuong,
202418380,Pham My Oanh,
202418383,Pham Hoang Nhung,
202418434,Huynh Xuan Vinh,
202418456,Vo Huu Khoa,
202418470,Bui Minh Dung,
202418476,Ho Tuan Binh,
202418487,Hoang Kieu Anh,
202418496,Bui Thuy Nhung,
202418515,Huynh Thanh Nhung,
202418524,Vu Xuan Nam,
202418544,Vu Minh Cuong,
202418598,Huynh Quang Phong,
202418618,Ngo Tuan Tung,
202418645,Nguyen Bich Thao,
202418647,Ly Quang Hoang,
202418698,Nguyen Thanh Oanh,
202418707,Dang My Lan,
202418728,Hoang Minh Cuong,
202418738,Ho My Trang,
202418743,Duong Thanh Phuc,
202418779,Nguyen Hoang Mai,
202418784,Ho Xuan Phong,
202418785,Dang Kieu Oanh,
202418787,Bui Ngoc Nam,
202418807,Phan The Cuong,
202418812,Ngo Thanh Yen,
202418820,Vu Thuy Oanh,
202418836,Duong Xuan Dung,
202418866,Dang Huu Anh,
202418868,Vo Thanh Anh,
202418884,Ly Thanh Vinh,
202418923,Phan Kieu Oanh,
202418938,Phan My Trang,
202418951,Le Minh Hai,
202418998,Vo Thu Yen,
202419012,Vu Huu Nam,
202419020,Ho Thuy Lan,
