MSSV,HoTen,DiemDanh
20230220,Do Thanh Dung,
20230245,Pham Tuan Nam,
20230280,Ho Thu Linh,
20231322,Pham Thuy Trang,
20232278,Do Thanh Ngoc,
20232870,Le Duc Binh,
20233137,Huynh Xuan Long,
20233302,Le Thuy Binh,
20234121,Pham Van Long,
20234152,Ngo Huu Phuc,
20234507,Vu Thu Giang,
20234734,Nguyen Duc Cuong,
20235511,Ho Bich Vy,
20235576,Duong Thanh Dung,
20235577,Ly Tuan Tung,
20235954,Nguyen Thanh Phong,
20236330,Ho Tuan Hoang,
20236358,Phan Thanh Anh,
20237645,Dang Xuan Anh,
20237788,Bui Thi Nhung,
20238664,Tran Xuan Vy,
202418052,Nguyen Minh Phong,
202418074,Ho Thi Oanh,
202418081,Vu My Giang,
202418087,Ho Van Son,
202418090,Ly Thu Anh,
202418108,Pham Hoang Anh,
202418117,Hoang My Nhung,
202418119,Huynh Minh Khoa,
202418126,Dinh Thi Giang,
202418147,Bui My Trang,
202418174,Do Bich Vy,
202418181,Hoang Ngoc Dung,
202418188,Duong Thuy Lan,
202418192,Bui Minh Phuc,
202418197,Duong The Vinh,
202418214,Duong Quang Long,
202418224,Bui The Nam,
202418231,Dang My Lan,
202418241,Do Bich Linh,
202418268,Tran Tuan Hai,
202418326,Ngo Thi Anh,
202418328,Nguyen Quang Hoang,
202418349,Tran Thanh Son,
202418369,Dinh Duc Hai,
202418371,Nguyen Xuan Cuong,
202418373,Bui The Hai,
202418382,Vu Huu Hoang,
202418384,Phan The Long,
202418390,Duong Duc Phong,
202418451,Vu Van Phong,
202418461,Nguyen Quang Cuong,
202418471,Ly Minh Cuong,
202418483,Hoang Ngoc Khoa,
202418484,Ly Huu Hai,
202418534,Bui My Nhung,
202418550,Dang Xuan Tung,
202418559,Ly Tuan Phong,
202418583,Ngo Bich Linh,
202418617,Ngo Tuan Cuong,
202418625,Hoang Kieu Giang,
202418626,Ly Ngoc Yen,
202418660,Ho Xuan Ngoc,
202418682,Do Thuy Binh,
202418714,Do Ngoc Anh,
202418743,Duong Thanh Phuc,
202418744,Do Ngoc Tung,
202418764,Nguyen Thanh Nhung,
202418768,Do My Thao,
202418774,Dang Ngoc Trang,
202418825,Ly Tuan Tung,
202418848,Huynh Quang Binh,
202418853,Duong Ngoc Binh,
202418874,Bui Van Dung,
202418899,Ly Van Tung,
202418908,Duong Ngoc Son,
202418917,Nguyen Bich Vy,
202418919,Tran Thi Linh,
202418920,Dinh Ngoc Linh,
202418921,Ly Xuan Mai,
202418942,Le Ngoc Trang,
202418943,Hoang The Anh,
202418952,Bui Thu Nhung,
202418960,Nguyen Quang Vinh,
202418971,Ly Minh Phong,
202418982,Phan Tuan Vinh,
202418983,Le Xuan Hoang,
202419022,Huynh Hoang Trang,
