MSSV,HoTen,DiemDanh
20219727,Vu Ngoc Yen,
20230111,Phan Xuan Thao,
20230502,Ngo Quang Anh,
20231875,Ho The Cuong,
20232594,Do The Nam,
20232702,Do Thanh Tung,
20234175,Nguyen Ngoc Long,
20234639,Vo Tuan Vinh,
20235785,Pham Thi Mai,
20236843,Nguyen Duc Nam,
20239752,Dinh Thanh Hai,
202418002,Dinh Minh Khoa,
202418027,Phan My Trang,
202418043,Huynh Huu Phuc,
202418064,Vo Tuan Phuc,
202418065,Ho Xuan Linh,
202418090,Ly Thu Anh,
202418112,Tran Ngoc Mai,
202418113,Bui Van Long,
202418114,Bui Thanh Phong,
202418118,Hoang Xuan Thao,
202418136,Duong My Binh,
202418153,Ly Minh Cuong,
202418189,Tran Ngoc Linh,
202418191,Vu Xuan Thao,
202418206,Vu Thanh Binh,
202418223,Vu Ngoc Tung,
202418264,Do Van Son,
202418280,Huynh Hoang Hoa,
202418282,Bui Xuan Binh,
202418293,Vu Thuy Hoa,
202418316,Phan Xuan Hoang,
202418350,Hoang Bich Thao,
202418353,Dang Xuan Dung,
202418354,Bui Thi Thao,
202418391,Vo Xuan Vinh,
202418419,Nguyen The Tung,
202418431,Vo Xuan Nam,
202418438,Hoang Van Nam,
202418493,Ngo Thanh Trang,
202418495,Vo Quang Dung,
202418531,Dang Hoang Ngoc,
202418534,Bui My Nhung,
202418536,Dang Van Long,
202418538,Ly Van Son,
202418572,Vo Quang Son,
202418589,Bui Thu Anh,
202418598,Huynh Quang Phong,
202418632,Vo The Nam,
202418633,Duong Bich Binh,
202418634,Nguyen Thuy Nhung,
202418638,Ho Xuan Nam,
202418646,Vo Van Dung,
202418647,Ly Quang Hoang,
202418648,Le Xuan Anh,
202418666,Ngo The Dung,
202418672,Huynh Thuy Mai,
202418689,Hoang The Khoa,
202418694,Tran Hoang Yen,
202418698,Nguyen Thanh Oanh,
202418713,Nguyen Kieu Mai,
202418714,Do Ngoc Anh,
202418715,Pham Xuan Cuong,
202418728,Hoang Minh Cuong,
202418754,Do Quang Khoa,
202418770,Vo Quang Vinh,
202418779,Nguyen Hoang Mai,
202418786,Ho Duc Nam,
202418789,Bui Thi Mai,
202418793,Do Duc Hoang,
202418799,Tran Tuan Nam,
202418811,Phan Xuan Nhung,
202418823,Nguyen Bich Anh,
202418840,Bui Huu Cuong,
202418873,Vo Hoang Hoa,
202418883,Dang Thanh Vy,
202418886,Vu Ngoc Tung,
202418903,Dang Quang Vinh,
202418917,Nguyen Bich Vy,
202418949,Nguyen Thi Oanh,
202418951,Le Minh Hai,
202418959,Pham Thu Trang,
202418970,Dinh Minh Dung,
202418972,Phan Minh Cuong,
202418985,Phan My Nhung,
202419006,Dang Xuan Trang,
202419019,Le Thuy Giang,
202419026,Le Tuan Long,
