MSSV,HoTen,DiemDanh
20216167,Ly Duc Binh,
20228929,Bui Minh Cuong,
20231608,Ly Huu Tung,
20232181,Dinh The Phong,
20233695,Nguyen Thuy Lan,
20235053,Huynh Hoang Nhung,
20235750,Huynh Kieu Trang,
20236216,Ly Bich Trang,
20236667,Vo Tuan Tung,
20238018,Pham Minh Phuc,
202418008,Bui Xuan Khoa,
202418015,Do Minh Hoang,
202418037,Duong Kieu Lan,
202418042,Vu Ngoc Vinh,
202418046,Huynh Ngoc Thao,
202418053,Phan The Son,
202418066,Duong Thu Anh,
202418068,Nguyen Van Dung,
202418072,Bui Ngoc Hoa,
202418083,Hoang Thanh Mai,
202418096,Dang Van Phong,
202418116,Tran Thi Oanh,
202418139,Do Van Dung,
202418146,Ho Huu Cuong,
202418151,Bui Thanh Nam,
202418179,Le Thu Ngoc,
202418197,Duong The Vinh,
202418208,Pham My Binh,
202418217,Tran The Long,
202418231,Dang My Lan,
202418245,Dinh Thuy Lan,
202418275,Duong My Ngoc,
202418304,Phan Xuan Hoa,
202418359,Tran Thu Anh,
202418377,Vo Quang Binh,
202418403,Huynh Thi Anh,
202418407,Dinh My Vy,
202418429,Vo Duc Long,
202418481,Ly Thu Thao,
202418491,Nguyen Quang Tung,
202418547,Ho Duc Son,
202418551,Duong Xuan Anh,
202418565,Hoang Minh Phuc,
202418594,Nguyen The Long,
202418600,Tran Ngoc Nam,
202418635,Tran Ngoc Dung,
202418664,Dinh Quang Cuong,
202418668,Dinh Xuan Phuc,
202418709,Le Minh Phuc,
202418731,Vo Tuan Tung,
202418750,Pham Duc Khoa,
202418770,Vo Quang Vinh,
202418781,Ho Ngoc Phuc,
202418801,Nguyen Thi Thao,
202418837,Ngo Ngoc Hoa,
202418858,Ho Tuan Dung,
202418862,Bui Duc Tung,
202418865,Nguyen Huu Vinh,
202418877,Pham Ngoc Nhung,
202418898,Ly Thuy Ngoc,
202418900,Ly Thu Anh,
202418931,Nguyen Quang Son,
202418935,Do Tuan Phuc,
202418950,Ho Thuy Hoa,
202418961,Phan The Long,
202418978,Le Xuan Binh,
202418994,Bui Kieu Yen,
202418998,Vo Thu Yen,
202419006,Dang Xuan Trang,
202419019,Le Thuy Giang,
202419024,Ho Xuan Tung,
