MSSV,HoTen,DiemDanh
20216704,Vo Quang Long,
20217610,Pham Thuy Giang,
20219367,Nguyen Xuan Yen,
20222104,Dinh Ngoc Long,
20226828,Do Quang Long,
20230468,Ngo Ngoc Vinh,
20232039,Hoang Xuan Anh,
20232638,Ngo Thanh Son,
20233003,Do Thanh Thao,
20233958,Vo Van Dung,
20234232,Phan Minh Cuong,
20234390,Nguyen Thanh Nhung,
20234398,Duong Thuy Mai,
20234422,Dinh Thuy Oanh,
20234640,Le Hoang Giang,
20236884,Ho Thuy Thao,
20237092,Dang The Cuong,
20237202,Hoang Duc Khoa,
20238764,Nguyen Xuan Binh,
20239041,Bui Bich Lan,
202418022,Huynh Thanh Anh,
202418027,Phan My Trang,
202418044,Ngo Ngoc Ngoc,
202418079,Hoang Thanh Binh,
202418085,Vo Van Nam,
202418092,Nguyen Thu Yen,
202418096,Dang Van Phong,
202418142,Hoang The Son,
202418153,Ly Minh Cuong,
202418186,Vo Xuan Vinh,
202418202,Nguyen Thu Lan,
202418234,Ho Thanh Binh,
202418240,Dang Duc Dung,
202418242,Ly Bich Binh,
202418266,Vu Huu Son,
202418271,Ngo Thu Trang,
202418272,Nguyen Thanh Giang,
202418273,Vo The Hoang,
202418391,Vo Xuan Vinh,
202418403,Huynh Thi Anh,
202418431,Vo Xuan Nam,
202418432,Bui Ngoc Phuc,
202418527,Ngo Minh Phuc,
202418542,Hoang Ngoc Nhung,
202418569,Vo My Lan,
202418574,Hoang Thanh Long,
202418595,Phan The Nam,
202418603,Pham Ngoc Vinh,
202418678,Bui Thu Oanh,
202418699,Le My Ngoc,
202418750,Pham Duc Khoa,
202418785,Dang Kieu Oanh,
202418826,Ngo Ngoc Son,
202418831,Bui Thuy Mai,
202418841,Dinh Minh Tung,
202418862,Bui Duc Tung,
202418901,Hoang Van Khoa,
202418925,Dinh Kieu Trang,
202418973,Dang Ngoc Khoa,
202418999,Vo Ngoc Mai,
202419006,Dang Xuan Trang,
202419028,Hoang The Nam,
